"","Country area or territory","Surveillance site type","Year-week (ISO 8601 calendar)","Week start date (ISO 8601 calendar)","Specimen tested","Influenza positive","Influenza negative","A (H3)"
"1","Japan","Sentinel","2015-02",2015-01-05,611,594,0,594
"2","Japan","Sentinel","2015-03",2015-01-12,501,479,0,479
"3","Japan","Sentinel","2015-04",2015-01-19,530,483,0,483
"4","Japan","Sentinel","2015-05",2015-01-26,412,373,0,373
"5","Japan","Sentinel","2015-06",2015-02-02,310,273,0,273
"6","Japan","Sentinel","2015-07",2015-02-09,204,173,0,173
"7","Japan","Sentinel","2015-08",2015-02-16,262,209,0,209
"8","Japan","Sentinel","2015-09",2015-02-23,164,113,0,113
"9","Japan","Sentinel","2015-10",2015-03-02,150,94,0,94
"10","Japan","Sentinel","2015-11",2015-03-09,144,79,0,79
"11","Japan","Sentinel","2015-12",2015-03-16,146,67,0,67
"12","Japan","Sentinel","2015-13",2015-03-23,97,36,0,36
"13","Japan","Sentinel","2015-14",2015-03-30,70,27,0,27
"14","Japan","Sentinel","2015-15",2015-04-06,57,14,0,14
"15","Japan","Sentinel","2015-16",2015-04-13,83,22,0,22
"16","Japan","Sentinel","2015-17",2015-04-20,64,12,0,12
"17","Japan","Sentinel","2015-18",2015-04-27,25,5,0,5
"18","Japan","Sentinel","2015-19",2015-05-04,13,2,0,2
"19","Japan","Sentinel","2015-20",2015-05-11,22,3,0,3
"20","Japan","Sentinel","2015-21",2015-05-18,18,1,0,1
"21","Japan","Sentinel","2015-22",2015-05-25,10,2,0,2
"22","Japan","Sentinel","2015-23",2015-06-01,11,1,0,1
"23","Japan","Sentinel","2015-24",2015-06-08,8,2,0,2
"24","Japan","Sentinel","2015-25",2015-06-15,7,2,0,2
"25","Japan","Sentinel","2015-26",2015-06-22,7,6,0,6
"26","Japan","Sentinel","2015-27",2015-06-29,3,1,0,1
"27","Japan","Sentinel","2015-28",2015-07-06,5,5,0,5
"28","Japan","Sentinel","2015-29",2015-07-13,1,0,0,0
"29","Japan","Sentinel","2015-30",2015-07-20,1,1,0,1
"30","Japan","Sentinel","2015-31",2015-07-27,4,1,0,1
"31","Japan","Sentinel","2015-32",2015-08-03,3,2,0,2
"32","Japan","Sentinel","2015-33",2015-08-10,3,2,0,2
"33","Japan","Sentinel","2015-34",2015-08-17,5,2,0,2
"34","Japan","Sentinel","2015-35",2015-08-24,5,1,0,1
"35","Japan","Sentinel","2015-36",2015-08-31,17,11,0,11
"36","Japan","Sentinel","2015-37",2015-09-07,6,3,0,3
"37","Japan","Sentinel","2015-38",2015-09-14,7,1,0,1
"38","Japan","Sentinel","2015-39",2015-09-21,3,0,0,0
"39","Japan","Sentinel","2015-40",2015-09-28,10,5,0,5
"40","Japan","Sentinel","2015-41",2015-10-05,13,11,0,11
"41","Japan","Sentinel","2015-42",2015-10-12,8,5,0,5
"42","Japan","Sentinel","2015-43",2015-10-19,33,10,0,10
"43","Japan","Sentinel","2015-44",2015-10-26,10,4,0,4
"44","Japan","Sentinel","2015-45",2015-11-02,22,14,0,14
"45","Japan","Sentinel","2015-46",2015-11-09,24,7,0,7
"46","Japan","Sentinel","2015-47",2015-11-16,30,11,0,11
"47","Japan","Sentinel","2015-48",2015-11-23,22,12,0,12
"48","Japan","Sentinel","2015-49",2015-11-30,38,15,0,15
"49","Japan","Sentinel","2015-50",2015-12-07,45,19,0,19
"50","Japan","Sentinel","2015-51",2015-12-14,55,16,0,16
"51","Japan","Sentinel","2015-52",2015-12-21,78,26,0,26
